,neg_pdpass,final_gvkey_val
0,-19702,66448.0
1,-19541,121844.0
2,-19540,121844.0
3,-19291,62613.0
4,-19289,176118.0
5,-18938,11351.0
6,-18799,13470.0
7,-18511,11212.0
8,-18385,29284.0
9,-18223,163121.0
10,-18172,10971.0
11,-18143,11027.0
12,-17448,13945.0
13,-17088,4156.0
14,-16706,15521.0
15,-16700,25923.0
16,-16688,10000.0
17,-16348,3708.0
18,-16179,174876.0
19,-16161,30964.0
20,-15631,111491.0
21,-14668,15854.0
22,-13980,9921.0
23,-13956,8674.0
24,-13921,164624.0
25,-13540,128219.0
26,-13515,3979.0
27,-13484,22681.0
28,-13381,13163.0
29,-12839,28442.0
30,-12485,28262.0
31,-12040,152809.0
32,-11534,7161.0
33,-10342,6666.0
34,-9695,23667.0
35,-8619,27980.0
36,-8388,9590.0
37,-8259,28262.0
38,-6889,10247.0
39,-6880,61658.0
40,-6861,12660.0
41,-5767,6573.0
42,-5054,4345.0
43,-4772,21552.0
44,-4569,10247.0
45,-4428,177376.0
46,-4421,16545.0
47,-4349,27980.0
48,-4033,24966.0
49,-2376,161055.0
50,-2285,28936.0
51,-887,1812.0
52,-758,12609.0
53,-724,17452.0
54,-561,25932.0
55,-435,100011.0
56,-434,100011.0
57,-242,29424.0
